agency,state,value_days,instrument,publisher,family,citation,doc_date,verify_status,source,quote_short
San Leandro PD,CA,30,Directive 23-01 amending Policy 418.5,Chief directive over Lexipol,THIRD_PARTY_30,none,2023-12-20,CONFIRMED,closure:san-leandro-15-to-30,"stored for 30 days ... purged on the 31st day; applies to 'any 3rd party server such as the NCRIC, Flock or Axon'"
San Leandro PD,CA,365,Pre-2022 Policy 418 (NCRIC era),Lexipol,ONE_YEAR_PURGE_366,GC 34090.6,pre-2022,CONFIRMED,closure:san-leandro-15-to-30,"stored for one year (Government Code SS 34090.6) ... purged on the 366th day"
Healdsburg PD,CA,90,Policy 465.5.2 (fixed-camera stream),Lexipol (edited),PURGE_AT_END_OF_N (N=90),none (parking stream 465.5.1 keeps 1yr/34090.6),2022-12-20 stamp,CONFIRMED,closure:healdsburg-folsom-gaps,"ALPR vendor will purge their data at the end of the 90 days of storage"
Folsom PD,CA,120,Resolution 10995,Council,RESOLUTION_NUMBER,none,2023-02-28,CONFIRMED,closure:healdsburg-folsom-gaps,"no more than 120 days ... 120 days from the capture date; manual never conformed (still minimum-one-year); portal displays 121"
Town of Woodside,CA,60,Resolution 2023-7553 Exhibit A,Council,RESOLUTION_NUMBER,none,2023-01-10,CONFIRMED,closure:smcso-woodside-primaries,"ALPR Data will not be stored by the ALPR System beyond sixty (60) days from the date it was uploaded to the cloud system"
Oakland PD,CA,30,DGO I-12 (council-adopted),Council/PD,PURGE_AT_30,none,2023-10-17 (readopted 2024-07-16),CONFIRMED,closure:f121-adoption-records,"purged from the server at the point of 30 days from initial upload (three enumerated exceptions)"
BART PD,CA,30 (routine),BPD-ALPR-SUP-02 (board-adopted),Agency under own surveillance ordinance,ROUTINE_30 + annex 1yr investigations + 5yr parking,BART ordinance 707.1.5,2019-10-24,CONFIRMED,closure:bart-vendor-retention,"Routine Data Collection shall not be stored beyond 30 days; vendor per annual reports: Motorola Solutions (no 'Vigilant' anywhere); non-Flock 30 counterexample"
Loveland PD,CO,30,PowerDMS policy (pre-revision),PD,CONFIGURED_TO,none,through 2026-08-12,TIER (lead; verbatim),TIER_1:3,"The department's ALPR platforms are configured to retain searchable ALPR data for thirty (30) days; post-scandal revision changed query controls not retention"
LASD,CA,730,Manual 5-09/550.05 sec VI,Self (PARS),TWO_YEAR_ARCHIVE,none,active,QUARANTINED (TIER session-cookie read; ordinary fetch loops),TIER_3:16,"two (2) years then logical archiving; permanent deletion 5 years; conduct ruling pending"
Sutter County SO,CA,730 (max),Public page,Self,TWO_YEAR_MAX,none,active,TIER (lead),TIER_4:13,"retained for a maximum of two years"
Galveston PD,TX,none stated,Policy 426.5,Lexipol,SCHEDULE_DELEGATION,records retention schedule,active,TIER (lead),LONG_TAIL 10,"retained in accordance with the established records retention schedule (no number); pairs with TSLAC 'AV' delegation"
Contra Costa County SO,CA,365 (ceiling),General Policy 1.07.38,Self (own format),CEILING_ONE_YEAR,none,rev 2024-11-13,LEDGER (single read flagged),OBS-1042,"shall not be stored ... for longer than one year; names Flock AND Vigilant/Motorola; not Lexipol"
San Jose PD,CA,365 (ceiling w/ discretion),Duty Manual L 4207,Self (memorandum),CEILING_WITH_DISCRETION,none (SB 34 effective date noted),2016-11-04,LEDGER,OBS-1043,"retained for 12 months, or the length of time required by the Department for official purposes - whichever is shorter; no vendor named"
Vallejo PD,CA,365 AND 30 (both in one document),Policy 426,Lexipol + vendor template block,MIN_ONE_YEAR + PURGE_AT_END_OF_N,GC 34090.6 (for the 1yr),2021 era,LEDGER (F10 worked case),ledger:F10,"'stored for no longer than one year' AND 'Flock Safety will purge their data at the end of the 30 days of storage' in one instrument"
Elk Grove PD,CA,30 AND 365 (min) on one page,Agency web page,Agency page quoting both,PAGE_CONFLICT,GC 34090.6 (for the 1yr),2026 era,LEDGER (OBS-1034),ledger:F140,"'Data retention 30 days' and 'minimum of one year (Government Code SS 34090.6)' in the same publication"
Enumclaw PD,WA,21 (max),Policy 431.5,Lexipol (state-conformed),STATUTE_EMBED_21,WA 2026 ch. 239 (Driver Privacy Act),2026 edition,TIER (lead),LONG_TAIL 6,"shall not be retained longer than 21 days, or according to the applicable record retention schedule; aggregated traffic-study carve-out 30 days"
Foster City PD,CA,30,Agency FAQ,Agency page w/ vendor template,PURGE_AT_END_OF_N (N=30),none,active,LEDGER,ledger:F89,"Flock Safety will purge their data at the end of the 30 days of storage"
Berkeley PD,CA,30,Council packet policy text,Agency (vendor name genericized),PURGE_AT_END_OF_N (N=30),none,2024,LEDGER,ledger:F89,"The ALPR vendor will purge their data at the end of the 30 days of storage"
Bastrop PD,TX,30 -> 7 proposed,Chief-approved Policy 8.6 (packet markup),PD (vendor template family),PURGE_AT_END_OF_N (number interlineated),none,packet 2026-08-25,CONFIRMED (packet read),closure:bastrop-outcome-check,"Flock Safety will purge their data at the end of 30 (7) days of storage"
Piedmont PD,CA,365 (min) on paper; 60 portal,Agency ALPR policy PDF,Lexipol (per OBS-144),MIN_ONE_YEAR vs PORTAL_60,GC 34090.6,policy undated; portal 2026-08-27,NEEDS RE-READ (OBS-144 single note),ledger:OBS-144,"policy says minimum one year, portal showed 60 (sharpest paper-vs-config pair; verify policy text before print)"
